Recrutement et Intelligence Artificielle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Détails de la soumission;;;;;;;;;Est-ce que vous utilisez ou avez-l'intention d'utiliser les IA génératives comme ChatGPT pour ...;;;;;Que pensez-vous de la facilité d'usage des IA ?;;;;Quelle crédibilité accordez-vous au recruteur quand il vous explique utiliser l'IA pour le recrutement...;;;;Dans quelle mesure acceptez-vous que votre recruteur utilise l'IA lors de ces différentes phases du recrutement;;;;;;Lors d'un éventuel recrutement où l'IA serait utilisée, quelle importance accordez-vous à ces sujets liés à son usage éthique ?;;;;;;;
Séquentiel;SID;Heure de soumission;Heure de complétion;Heure de modification;Brouillon;Adresse IP;UID;Nom d'utilisateur;Rédiger des CV ou des lettres de motivation;Améliorer votre profil LinkedIn;Préparer des entretiens d'embauche;Vous renseigner sur votre futur employeur;Répondre plus rapidement à une offre;ChatGPT et autres IA génératives (génération de texte ou d'images);Moteur de recherche (Chrome, Safari, Firefox);Application de navigation disponibles sur votre mobile ou dans votre voiture;Autres usages professionnels ou scientifiques;Pour sélectionner les meilleur•e•s candidat•e•s;Pour réduire le risque de discrimination;Pour un recrutement plus éthique;Pour diversifier les recrutements;Lors du tri initial des candidatures;Lors des tests de sélection;Lors des entretiens individuels;Lors de la discussion sur le périmètre de votre poste;Lors de la négociation sur votre rémunération et autres avantages;Lors de la rédaction de votre contrat de travail;Le respect de votre vie privée;L'empreinte carbone de l'IA utilisée;L'absence de toute discrimination;L'équité entre tous les candidats;Le respect de la diversité;Aimeriez-vous savoir si votre recruteur a prévu d'utiliser l'IA dans le processus de recrutement ?;Quelle est votre tranche d'âge?;Donnez votre avis sur une entreprise qui souhaiterait confier ses recrutements à une IA : 
67;25328047;14/01/2025 - 08:52;14/01/2025 - 08:52;14/01/2025 - 08:52;0;0.0.0.0;0;Anonymous;Assez favorable;Ni favorable, ni opposé;Assez favorable;Tout à fait favorable;Tout à fait favorable;Quelques difficultés;Plutôt à l'aise;Plutôt à l'aise;Ni aisance, ni difficultés;Faible;Elevé;Ni faible, ni élevé;Ni faible, ni élevé;Favorable;Favorable;Très réticent;Ni réticent, ni favorable;Réticent;Ni réticent, ni favorable;C'est très important;C'est plutôt secondaire;C'est important ou secondaire;C'est plutôt important;C'est important ou secondaire;C'est secondaire;55-64 ans;
68;25328137;14/01/2025 - 08:56;14/01/2025 - 08:56;14/01/2025 - 08:56;0;0.0.0.0;0;Anonymous;Totalement opposé;Totalement opposé;Totalement opposé;Assez favorable;Plutôt opposé;Plutôt à l'aise;à l'aise;à l'aise;Plutôt à l'aise;Faible;Ni faible, ni élevé;Très faible;Faible;Ni réticent, ni favorable;Favorable;Très réticent;Très réticent;Réticent;Très réticent;C'est très important;C'est plutôt important;C'est très secondaire;C'est très secondaire;C'est très secondaire;C'est important;55-64 ans;Je ne voudrais a priori pas y travailler.
69;25328587;14/01/2025 - 09:12;14/01/2025 - 09:12;14/01/2025 - 09:12;0;0.0.0.0;0;Anonymous;Plutôt opposé;Plutôt opposé;Assez favorable;Assez favorable;Ni favorable, ni opposé;Quelques difficultés;à l'aise;à l'aise;Plutôt à l'aise;Faible;Très faible;Très faible;Ni faible, ni élevé;Ni réticent, ni favorable;Réticent;Très réticent;Réticent;Réticent;Ni réticent, ni favorable;C'est très important;C'est important ou secondaire;C'est plutôt important;C'est très important;C'est plutôt important;C'est important;55-64 ans;Il ne faut pas donner les clés du camion à l'IA...
70;25328671;14/01/2025 - 09:16;14/01/2025 - 09:16;14/01/2025 - 09:16;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Ni favorable, ni opposé;Tout à fait favorable;Assez favorable;Plutôt à l'aise;à l'aise;à l'aise;Ni aisance, ni difficultés;Elevé;Très élevé;Ni faible, ni élevé;Très élevé;Favorable;Ni réticent, ni favorable;Réticent;Ni réticent, ni favorable;Réticent;Très favorable;C'est très important;C'est plutôt important;C'est très important;C'est très important;C'est très important;C'est important;18-24 ans;
71;25328803;14/01/2025 - 09:20;14/01/2025 - 09:20;14/01/2025 - 09:20;0;0.0.0.0;0;Anonymous;Assez favorable;Ni favorable, ni opposé;Ni favorable, ni opposé;Assez favorable;Ni favorable, ni opposé;Ni aisance, ni difficultés;à l'aise;à l'aise;Plutôt à l'aise;Elevé;Elevé;Ni faible, ni élevé;Elevé;Favorable;Favorable;Réticent;Réticent;Ni réticent, ni favorable;Favorable;C'est très important;C'est important ou secondaire;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est essentiel;55-64 ans;Si l'IA peut favoriser le travail de recrutement d'une grande entreprise ou de la fonction publique, dans le cadre d'une structure plus petite, d'une équipe, il manquera un élément essentiel : l'empathie 
72;25328851;14/01/2025 - 09:22;14/01/2025 - 09:22;14/01/2025 - 09:22;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;à l'aise;à l'aise;à l'aise;à l'aise;Elevé;Elevé;Elevé;Elevé;Favorable;Favorable;Favorable;Favorable;Favorable;Favorable;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est important;55-64 ans;L'IA doit rester un outil d'aide à la décision car le recrutement d'un personnel conserve une part humaine de cooptation et de confiance
73;25328939;14/01/2025 - 09:24;14/01/2025 - 09:24;14/01/2025 - 09:24;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Assez favorable;Tout à fait favorable;Ni favorable, ni opposé;Assez favorable;à l'aise;à l'aise;à l'aise;à l'aise;Ni faible, ni élevé;Elevé;Elevé;Elevé;Réticent;Réticent;Réticent;Ni réticent, ni favorable;Réticent;Ni réticent, ni favorable;C'est très important;C'est très important;C'est très important;C'est très important;C'est très important;C'est important;18-24 ans;
74;25329237;14/01/2025 - 09:33;14/01/2025 - 09:33;14/01/2025 - 09:33;0;0.0.0.0;0;Anonymous;Plutôt opposé;Ni favorable, ni opposé;Ni favorable, ni opposé;Ni favorable, ni opposé;Plutôt opposé;Ni aisance, ni difficultés;à l'aise;à l'aise;Ni aisance, ni difficultés;Très faible;Très faible;Très faible;Très faible;Réticent;Réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est plutôt important;C'est très important;C'est très important;C'est plutôt important;C'est important;25-34 ans;Si le recrutement se fait via ia uniquement, les RH perdent une partie de leur rôle, il n'y a plus de feeling entre les gens. On se base que sur ce que l'ia a écrit et le relationnel disparaît complètement. 
75;25329453;14/01/2025 - 09:39;14/01/2025 - 09:39;14/01/2025 - 09:39;0;0.0.0.0;0;Anonymous;Totalement opposé;Plutôt opposé;Ni favorable, ni opposé;Ni favorable, ni opposé;Assez favorable;En difficulté;Ni aisance, ni difficultés;Ni aisance, ni difficultés;En difficulté;Faible;Très faible;Très faible;Très faible;Favorable;Ni réticent, ni favorable;Réticent;Très réticent;Très réticent;Réticent;C'est très important;C'est plutôt secondaire;C'est plutôt important;C'est très important;C'est important ou secondaire;C'est important;55-64 ans;
76;25329625;14/01/2025 - 09:44;14/01/2025 - 09:44;14/01/2025 - 09:44;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Assez favorable;Assez favorable;Assez favorable;Ni aisance, ni difficultés;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Très réticent;Réticent;C'est très important;C'est important ou secondaire;C'est important ou secondaire;C'est important ou secondaire;C'est important ou secondaire;C'est important;55-64 ans;
77;25329973;14/01/2025 - 09:54;14/01/2025 - 09:54;14/01/2025 - 09:54;0;0.0.0.0;0;Anonymous;Plutôt opposé;Assez favorable;Assez favorable;Assez favorable;Assez favorable;à l'aise;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Très faible;Ni faible, ni élevé;Très faible;Très faible;Favorable;Réticent;Réticent;Réticent;Réticent;Favorable;C'est très important;C'est très secondaire;C'est très important;C'est très important;C'est très important;C'est essentiel;18-24 ans;
78;25330137;14/01/2025 - 09:59;14/01/2025 - 09:59;14/01/2025 - 09:59;0;0.0.0.0;0;Anonymous;Plutôt opposé;Totalement opposé;Plutôt opposé;Ni favorable, ni opposé;Ni favorable, ni opposé;Ni aisance, ni difficultés;à l'aise;Plutôt à l'aise;Ni aisance, ni difficultés;Ni faible, ni élevé;Très faible;Très faible;Très faible;Réticent;Réticent;Réticent;Ni réticent, ni favorable;Favorable;Ni réticent, ni favorable;C'est très important;C'est très important;C'est très important;C'est très important;C'est très important;C'est important;25-34 ans;Je le demanderai: si l’entreprise se sent obligée d’utiliser l’IA pour éviter les discriminations et favoriser la diversité c’est qu’il y a autre chose a changer car l’IA ne va pas modifier les comportements humains avec lesquels les personnes employées vont interagir au quotidien.
79;25330469;14/01/2025 - 10:10;14/01/2025 - 10:10;14/01/2025 - 10:10;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Assez favorable;Assez favorable;Plutôt à l'aise;à l'aise;à l'aise;Plutôt à l'aise;Très faible;Très faible;Très faible;Très faible;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est très secondaire;C'est important ou secondaire;C'est important ou secondaire;C'est très secondaire;C'est essentiel;55-64 ans;"Les IA permettent de générer des CV et des lettres de motivation très pertinents. 
Le recrutement impose de faire des choix! Croire qu'une IA permet de mieux recruter c'est croire que le facteur humain n'a aucune importance... 
l'arrivée de l'IA dans les processus de recrutement impose de revenir à des tests de sélection pour être sûr que ce qui est affiché dans le CV est vrai... ( compétences, parcours...). Recruter uniquement sur base d IA c est recruter rapidement des collaborateurs qui maîtrisent les IA pas les compétences et les savoir faire requis... c'est un recrutement artificiel! "
80;25330933;14/01/2025 - 10:24;14/01/2025 - 10:24;14/01/2025 - 10:24;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Assez favorable;Tout à fait favorable;à l'aise;à l'aise;à l'aise;à l'aise;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Favorable;Ni réticent, ni favorable;Favorable;C'est très important;C'est important ou secondaire;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est important;45-54 ans;
81;25331036;14/01/2025 - 10:27;14/01/2025 - 10:27;14/01/2025 - 10:27;0;0.0.0.0;0;Anonymous;Assez favorable;Ni favorable, ni opposé;Ni favorable, ni opposé;Ni favorable, ni opposé;Ni favorable, ni opposé;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Faible;Faible;Faible;Faible;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est plutôt important;C'est plutôt secondaire;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est essentiel;45-54 ans;
82;25331064;14/01/2025 - 10:28;14/01/2025 - 10:28;14/01/2025 - 10:28;0;0.0.0.0;0;Anonymous;Plutôt opposé;Plutôt opposé;Plutôt opposé;Plutôt opposé;Plutôt opposé;à l'aise;à l'aise;à l'aise;Plutôt à l'aise;Ni faible, ni élevé;Ni faible, ni élevé;Faible;Ni faible, ni élevé;Réticent;Réticent;Réticent;Réticent;Réticent;Réticent;C'est très important;C'est important ou secondaire;C'est plutôt secondaire;C'est plutôt important;C'est plutôt secondaire;C'est important;18-24 ans;"Je comprends tout à fait la logique. Et je pense que cela pourrait lui être bénéfique. Cependant au regard des discours actuels sur l'IA, reconnaître qu'un processus complexe comme le recrutement est délégué à une IA pourrait nuire à son image auprès du public. Certains pourraient penser que ce n'est fait que par souci de simplicité, parce que les RH sont paresseux. 
J'espère que mon regard vous a aidé. Je transmettrai le lien du questionnaire à mes connaissances. C'est Chloé Chang, de Rennes SB, qui me l'a transmis.
Bien à vous."
83;25331254;14/01/2025 - 10:33;14/01/2025 - 10:33;14/01/2025 - 10:33;0;0.0.0.0;0;Anonymous;Totalement opposé;Totalement opposé;Totalement opposé;Totalement opposé;Totalement opposé;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Très faible;Très faible;Très faible;Très faible;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très secondaire;C'est très secondaire;C'est très secondaire;C'est très secondaire;C'est très secondaire;C'est sans intérêt;18-24 ans;
84;25331317;14/01/2025 - 10:34;14/01/2025 - 10:34;14/01/2025 - 10:34;0;0.0.0.0;0;Anonymous;Assez favorable;Ni favorable, ni opposé;Ni favorable, ni opposé;Totalement opposé;Ni favorable, ni opposé;Plutôt à l'aise;Quelques difficultés;Quelques difficultés;En difficulté;Faible;Faible;Très faible;Faible;Réticent;Très réticent;Réticent;Réticent;Réticent;Réticent;C'est plutôt important;C'est plutôt secondaire;C'est important ou secondaire;C'est important ou secondaire;C'est important ou secondaire;Cela dépend;18-24 ans;
85;25331449;14/01/2025 - 10:38;14/01/2025 - 10:38;14/01/2025 - 10:38;0;0.0.0.0;0;Anonymous;Assez favorable;Ni favorable, ni opposé;Assez favorable;Ni favorable, ni opposé;Assez favorable;à l'aise;à l'aise;à l'aise;Ni aisance, ni difficultés;Faible;Faible;Faible;Faible;Réticent;Réticent;Très réticent;Très réticent;Très réticent;Réticent;C'est très important;C'est plutôt important;C'est important ou secondaire;C'est important ou secondaire;C'est important ou secondaire;C'est important;18-24 ans;
86;25331472;14/01/2025 - 10:38;14/01/2025 - 10:38;14/01/2025 - 10:38;0;0.0.0.0;0;Anonymous;Ni favorable, ni opposé;Assez favorable;Plutôt opposé;Ni favorable, ni opposé;Ni favorable, ni opposé;Quelques difficultés;Plutôt à l'aise;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Faible;Faible;Très faible;Faible;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est plutôt important;C'est important ou secondaire;C'est très important;C'est important ou secondaire;C'est important;18-24 ans;
87;25335271;14/01/2025 - 12:34;14/01/2025 - 12:34;14/01/2025 - 12:34;0;0.0.0.0;0;Anonymous;Ni favorable, ni opposé;Tout à fait favorable;Assez favorable;Ni favorable, ni opposé;Assez favorable;Plutôt à l'aise;à l'aise;à l'aise;à l'aise;Ni faible, ni élevé;Elevé;Elevé;Elevé;Réticent;Favorable;Réticent;Ni réticent, ni favorable;Réticent;Ni réticent, ni favorable;C'est très important;C'est important ou secondaire;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est essentiel;18-24 ans;
88;25335397;14/01/2025 - 12:39;14/01/2025 - 12:39;14/01/2025 - 12:39;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Plutôt opposé;Totalement opposé;Totalement opposé;Totalement opposé;à l'aise;En difficulté;à l'aise;Ni aisance, ni difficultés;Très faible;Très faible;Très faible;Très faible;Ni réticent, ni favorable;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est très important;C'est très important;C'est très important;C'est très important;C'est essentiel;25-34 ans;
89;25335553;14/01/2025 - 12:47;14/01/2025 - 12:47;14/01/2025 - 12:47;0;0.0.0.0;0;Anonymous;Ni favorable, ni opposé;Assez favorable;Ni favorable, ni opposé;Assez favorable;Ni favorable, ni opposé;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Ni aisance, ni difficultés;Très faible;Très faible;Très faible;Très faible;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est essentiel;18-24 ans;
90;25336226;14/01/2025 - 13:18;14/01/2025 - 13:18;14/01/2025 - 13:18;0;0.0.0.0;0;Anonymous;Totalement opposé;Totalement opposé;Ni favorable, ni opposé;Totalement opposé;Totalement opposé;à l'aise;à l'aise;à l'aise;à l'aise;Très faible;Ni faible, ni élevé;Très faible;Très faible;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est très important;C'est très important;C'est plutôt important;C'est plutôt secondaire;C'est essentiel;18-24 ans;
91;25336705;14/01/2025 - 13:37;14/01/2025 - 13:37;14/01/2025 - 13:37;0;0.0.0.0;0;Anonymous;Ni favorable, ni opposé;Ni favorable, ni opposé;Ni favorable, ni opposé;Tout à fait favorable;Assez favorable;Quelques difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Quelques difficultés;Faible;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Réticent;Réticent;Très réticent;Ni réticent, ni favorable;Réticent;Ni réticent, ni favorable;C'est très important;C'est important ou secondaire;C'est très important;C'est très important;C'est très important;C'est important;45-54 ans;
92;25336915;14/01/2025 - 13:46;14/01/2025 - 13:46;14/01/2025 - 13:46;0;0.0.0.0;0;Anonymous;Plutôt opposé;Totalement opposé;Plutôt opposé;Assez favorable;Plutôt opposé;Plutôt à l'aise;à l'aise;à l'aise;Plutôt à l'aise;Très faible;Elevé;Ni faible, ni élevé;Faible;Réticent;Très réticent;Très réticent;Très réticent;Réticent;Ni réticent, ni favorable;C'est très important;C'est très important;C'est très important;C'est très important;C'est très important;C'est essentiel;25-34 ans;Il est difficile de réduire l’expérience professionnelle et humaine d’une personne à des critères de sélection gérés par un programme informatique, aussi efficient puisse-t-il être. 
93;25341464;14/01/2025 - 16:03;14/01/2025 - 16:03;14/01/2025 - 16:03;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Ni favorable, ni opposé;Ni favorable, ni opposé;Assez favorable;Plutôt à l'aise;à l'aise;à l'aise;à l'aise;Faible;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Réticent;Réticent;Réticent;Réticent;Réticent;Réticent;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est secondaire;35-44 ans;
94;25344952;14/01/2025 - 17:50;14/01/2025 - 17:50;14/01/2025 - 17:50;0;0.0.0.0;0;Anonymous;Ni favorable, ni opposé;Assez favorable;Ni favorable, ni opposé;Assez favorable;Ni favorable, ni opposé;Plutôt à l'aise;à l'aise;Plutôt à l'aise;à l'aise;Faible;Faible;Faible;Faible;Réticent;Ni réticent, ni favorable;Réticent;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;C'est très important;C'est très important;C'est très important;C'est très important;C'est très important;C'est essentiel;55-64 ans;Je pense que la RH n’aurait pas compris son métier ou aurait peu d’expérience
95;25345349;14/01/2025 - 18:04;14/01/2025 - 18:04;14/01/2025 - 18:04;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Assez favorable;Tout à fait favorable;Assez favorable;Plutôt opposé;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Ni aisance, ni difficultés;Faible;Faible;Faible;Faible;Très réticent;Réticent;Réticent;Réticent;Réticent;Favorable;C'est très important;C'est très important;C'est très important;C'est plutôt important;C'est très important;C'est secondaire;25-34 ans;
96;25345409;14/01/2025 - 18:07;14/01/2025 - 18:07;14/01/2025 - 18:07;0;0.0.0.0;0;Anonymous;Totalement opposé;Totalement opposé;Totalement opposé;Totalement opposé;Totalement opposé;Plutôt à l'aise;à l'aise;Plutôt à l'aise;Plutôt à l'aise;Très faible;Faible;Très faible;Ni faible, ni élevé;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est important ou secondaire;C'est plutôt important;C'est plutôt important;C'est plutôt secondaire;C'est essentiel;55-64 ans;
97;25346806;14/01/2025 - 19:14;14/01/2025 - 19:14;14/01/2025 - 19:14;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Plutôt opposé;Tout à fait favorable;Assez favorable;Ni aisance, ni difficultés;à l'aise;Plutôt à l'aise;Plutôt à l'aise;Faible;Faible;Très faible;Très faible;Ni réticent, ni favorable;Réticent;Réticent;Réticent;Très réticent;Ni réticent, ni favorable;C'est très important;C'est plutôt important;C'est très important;C'est très important;C'est plutôt important;C'est essentiel;55-64 ans;
98;25348891;14/01/2025 - 21:24;14/01/2025 - 21:24;14/01/2025 - 21:24;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Ni favorable, ni opposé;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;à l'aise;à l'aise;à l'aise;à l'aise;Très faible;Très faible;Très faible;Très faible;Ni réticent, ni favorable;Réticent;Très réticent;Très réticent;Très réticent;Favorable;C'est très important;C'est très secondaire;C'est très important;C'est très important;C'est très secondaire;C'est important;55-64 ans;Grande méfiance 
99;25349520;14/01/2025 - 22:11;14/01/2025 - 22:11;14/01/2025 - 22:11;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Plutôt à l'aise;Ni aisance, ni difficultés;Plutôt à l'aise;Plutôt à l'aise;Elevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Favorable;Ni réticent, ni favorable;C'est plutôt important;C'est très secondaire;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est important;18-24 ans;
100;25349735;14/01/2025 - 22:30;14/01/2025 - 22:30;14/01/2025 - 22:30;0;0.0.0.0;0;Anonymous;Plutôt opposé;Plutôt opposé;Ni favorable, ni opposé;Plutôt opposé;Plutôt opposé;Ni aisance, ni difficultés;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni réticent, ni favorable;Ni réticent, ni favorable;Réticent;Réticent;Ni réticent, ni favorable;Ni réticent, ni favorable;C'est très important;C'est plutôt secondaire;C'est plutôt important;C'est plutôt important;C'est plutôt secondaire;C'est essentiel;55-64 ans;
101;25349783;14/01/2025 - 22:35;14/01/2025 - 22:35;14/01/2025 - 22:35;0;0.0.0.0;0;Anonymous;Assez favorable;Tout à fait favorable;Ni favorable, ni opposé;Assez favorable;Assez favorable;à l'aise;à l'aise;à l'aise;à l'aise;Elevé;Faible;Faible;Faible;Réticent;Réticent;Favorable;Favorable;Favorable;Favorable;C'est très important;C'est plutôt important;C'est très important;C'est très important;C'est très important;C'est important;35-44 ans;
102;25350666;15/01/2025 - 06:47;15/01/2025 - 06:47;15/01/2025 - 06:47;0;0.0.0.0;0;Anonymous;Ni favorable, ni opposé;Assez favorable;Assez favorable;Ni favorable, ni opposé;Ni favorable, ni opposé;Ni aisance, ni difficultés;à l'aise;à l'aise;à l'aise;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Réticent;Réticent;Ni réticent, ni favorable;C'est très important;C'est plutôt secondaire;C'est plutôt important;C'est plutôt important;C'est important ou secondaire;C'est secondaire;45-54 ans;L'IA ne remplace pas la sensibilité humaine, il y a des choses qui se disent et se perçoivent différemment quand on est face à une personne.
103;25350807;15/01/2025 - 07:24;15/01/2025 - 07:24;15/01/2025 - 07:24;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;à l'aise;à l'aise;à l'aise;à l'aise;Faible;Très élevé;Ni faible, ni élevé;Elevé;Favorable;Réticent;Réticent;Favorable;Réticent;Favorable;C'est très important;C'est très important;C'est très important;C'est très important;C'est très important;Cela dépend;35-44 ans;"Je suis favorable à ce que les entreprises s ouvrent sur l IA pour le recrutement cependant elles doivent garder le contrôle sur les critères de sélection. 
Utiliser l IA pendant les premières étapes de sélection et non pas sur l ensemble du process de recrutement. "
104;25350928;15/01/2025 - 07:41;15/01/2025 - 07:41;15/01/2025 - 07:41;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Assez favorable;Tout à fait favorable;Assez favorable;Quelques difficultés;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Ni faible, ni élevé;Faible;Faible;Faible;Ni réticent, ni favorable;Ni réticent, ni favorable;Réticent;Ni réticent, ni favorable;Réticent;Ni réticent, ni favorable;C'est plutôt important;C'est plutôt secondaire;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est important;55-64 ans;
105;25352957;15/01/2025 - 09:28;15/01/2025 - 09:28;15/01/2025 - 09:28;0;0.0.0.0;0;Anonymous;Plutôt opposé;Ni favorable, ni opposé;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Quelques difficultés;Ni aisance, ni difficultés;Plutôt à l'aise;Quelques difficultés;Ni faible, ni élevé;Ni faible, ni élevé;Très faible;Très faible;Ni réticent, ni favorable;Réticent;Ni réticent, ni favorable;Réticent;Ni réticent, ni favorable;Favorable;C'est très important;C'est plutôt important;C'est plutôt important;C'est très important;C'est important ou secondaire;C'est sans intérêt;55-64 ans;
106;25353178;15/01/2025 - 09:34;15/01/2025 - 09:34;15/01/2025 - 09:34;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Assez favorable;Plutôt opposé;Ni favorable, ni opposé;Plutôt à l'aise;à l'aise;à l'aise;Ni aisance, ni difficultés;Faible;Ni faible, ni élevé;Faible;Faible;Ni réticent, ni favorable;Très favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Favorable;C'est très important;C'est plutôt secondaire;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est secondaire;45-54 ans;
107;25359405;15/01/2025 - 13:20;15/01/2025 - 13:20;15/01/2025 - 13:20;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Assez favorable;Assez favorable;Assez favorable;Plutôt à l'aise;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Elevé;Faible;Faible;Elevé;Favorable;Favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Réticent;C'est très important;C'est très important;C'est très important;C'est très important;C'est très important;C'est important;25-34 ans;Toujours avoir un humain pour vérifier. Les IA font des erreurs et ne font pas fiables à 100%.
108;25359486;15/01/2025 - 13:24;15/01/2025 - 13:24;15/01/2025 - 13:24;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Plutôt à l'aise;Plutôt à l'aise;Quelques difficultés;Ni aisance, ni difficultés;Ni faible, ni élevé;Elevé;Très faible;Faible;Réticent;Réticent;Réticent;Réticent;Réticent;Favorable;C'est très important;C'est plutôt important;C'est très important;C'est plutôt important;C'est plutôt important;C'est essentiel;55-64 ans;Peur. Questionnements. Bizarre
109;25361683;15/01/2025 - 14:44;15/01/2025 - 14:44;15/01/2025 - 14:44;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Totalement opposé;Ni favorable, ni opposé;Quelques difficultés;Plutôt à l'aise;Quelques difficultés;Ni aisance, ni difficultés;Très faible;Faible;Faible;Faible;Réticent;Ni réticent, ni favorable;Favorable;Favorable;Très réticent;Très réticent;C'est très important;C'est important ou secondaire;C'est très important;C'est très important;C'est très important;C'est essentiel;25-34 ans;Je pense qu’on tend vers ce genre de pratique mais ce qui me dérange le plus c’est toujours le parametrage car si cela est utilisé par des personnes mal intentionnées ou encore avec une vision stricte cela risque de renforcer les discriminations etc
